example_id                                                               | status | run_time        |
------------------------------------------------------------------------ | ------ | --------------- |
./spec/controllers/admin/articles_controller_spec.rb[1:1:1]              | passed | 0.42399 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:1:2]              | passed | 0.41648 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:1:3:1]            | passed | 0.4439 seconds  |
./spec/controllers/admin/articles_controller_spec.rb[1:1:4:1]            | passed | 0.44885 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:1:5:1]            | passed | 0.44124 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:1:6:1]            | passed | 0.43935 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:2:1]              | passed | 0.39805 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:2:2]              | passed | 0.39835 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:3:1]              | passed | 0.37929 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:3:2]              | passed | 0.37311 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:4:1:1]            | passed | 0.47294 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:4:1:2]            | passed | 0.44469 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:4:2:1]            | passed | 0.39445 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:5:1]              | passed | 0.4052 seconds  |
./spec/controllers/admin/articles_controller_spec.rb[1:5:2]              | passed | 0.39769 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:6:1:1]            | passed | 0.40352 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:6:1:2]            | passed | 0.40508 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:6:2:1]            | passed | 0.38271 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:6:2:2]            | passed | 0.38372 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:7:1:1]            | passed | 0.39241 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:7:2:1]            | passed | 0.40157 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:8:1]              | passed | 0.40897 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:8:2]              | passed | 0.39752 seconds |
./spec/controllers/admin/articles_controller_spec.rb[1:9:1:1]            | passed | 0.36783 seconds |
./spec/controllers/articles_controller_spec.rb[1:1:1]                    | passed | 0.38614 seconds |
./spec/controllers/articles_controller_spec.rb[1:1:2]                    | passed | 0.4548 seconds  |
./spec/controllers/articles_controller_spec.rb[1:1:3]                    | passed | 0.37363 seconds |
./spec/controllers/articles_controller_spec.rb[1:2:1]                    | passed | 0.36722 seconds |
./spec/controllers/articles_controller_spec.rb[1:2:2]                    | passed | 0.39013 seconds |
./spec/controllers/articles_controller_spec.rb[1:3:1]                    | passed | 0.37678 seconds |
./spec/controllers/articles_controller_spec.rb[1:3:2]                    | passed | 0.41016 seconds |
./spec/controllers/articles_controller_spec.rb[1:3:3]                    | passed | 0.73266 seconds |
./spec/controllers/home_controller_spec.rb[1:1:1]                        | passed | 0.37217 seconds |
./spec/controllers/home_controller_spec.rb[1:1:2]                        | passed | 0.3874 seconds  |
./spec/controllers/home_controller_spec.rb[1:1:3]                        | passed | 0.38678 seconds |
./spec/controllers/home_controller_spec.rb[1:2:1]                        | passed | 0.08212 seconds |
./spec/controllers/home_controller_spec.rb[1:3:1]                        | passed | 0.06833 seconds |
./spec/controllers/home_controller_spec.rb[1:3:2]                        | passed | 0.07909 seconds |
./spec/controllers/home_controller_spec.rb[1:4:1:1]                      | passed | 0.09343 seconds |
./spec/controllers/home_controller_spec.rb[1:4:1:2]                      | passed | 0.31354 seconds |
./spec/controllers/home_controller_spec.rb[1:4:2:1]                      | passed | 0.07621 seconds |
./spec/controllers/home_controller_spec.rb[1:4:2:2]                      | passed | 0.08155 seconds |
./spec/mailers/test_mailer_spec.rb[1:1:1]                                | passed | 0.03918 seconds |
./spec/mailers/test_mailer_spec.rb[1:1:2]                                | passed | 0.03383 seconds |
./spec/mailers/test_mailer_spec.rb[1:1:3]                                | passed | 0.02818 seconds |
./spec/mailers/test_mailer_spec.rb[1:1:4]                                | passed | 0.10961 seconds |
./spec/mailers/test_mailer_spec.rb[1:1:5]                                | passed | 0.02975 seconds |
./spec/mailers/test_mailer_spec.rb[1:1:6]                                | passed | 0.03448 seconds |
./spec/models/article_spec.rb[1:1:1]                                     | passed | 0.01574 seconds |
./spec/models/article_spec.rb[1:2:1]                                     | passed | 0.0208 seconds  |
./spec/models/article_spec.rb[1:2:2]                                     | passed | 0.01687 seconds |
./spec/models/article_spec.rb[1:2:3]                                     | passed | 0.02152 seconds |
./spec/models/article_spec.rb[1:2:4]                                     | passed | 0.01866 seconds |
./spec/models/article_spec.rb[1:3:1:1]                                   | passed | 0.33665 seconds |
./spec/models/article_spec.rb[1:3:2:1]                                   | passed | 0.35675 seconds |
./spec/models/article_spec.rb[1:3:3:1]                                   | passed | 0.33104 seconds |
./spec/models/article_spec.rb[1:3:4:1]                                   | passed | 0.3357 seconds  |
./spec/models/article_spec.rb[1:4:1:1]                                   | passed | 0.30929 seconds |
./spec/models/article_spec.rb[1:4:1:2]                                   | passed | 0.3066 seconds  |
./spec/models/article_spec.rb[1:4:2:1]                                   | passed | 0.3136 seconds  |
./spec/models/article_spec.rb[1:4:2:2]                                   | passed | 0.30435 seconds |
./spec/models/article_spec.rb[1:4:3:1]                                   | passed | 0.34447 seconds |
./spec/models/article_spec.rb[1:4:3:2]                                   | passed | 0.32769 seconds |
./spec/models/article_spec.rb[1:5:1]                                     | passed | 0.36836 seconds |
./spec/models/article_spec.rb[1:5:2]                                     | passed | 0.3409 seconds  |
./spec/models/article_spec.rb[1:5:3]                                     | passed | 0.31848 seconds |
./spec/models/article_spec.rb[1:6:1]                                     | passed | 0.30239 seconds |
./spec/models/article_spec.rb[1:6:2]                                     | passed | 0.31807 seconds |
./spec/models/article_spec.rb[1:7:1]                                     | passed | 0.3034 seconds  |
./spec/models/article_spec.rb[1:8:1]                                     | passed | 0.30634 seconds |
./spec/models/article_spec.rb[1:8:2]                                     | passed | 0.32447 seconds |
./spec/models/session_spec.rb[1:1:1]                                     | passed | 0.0303 seconds  |
./spec/models/session_spec.rb[1:2:1]                                     | passed | 0.3032 seconds  |
./spec/models/session_spec.rb[1:2:2]                                     | passed | 0.30139 seconds |
./spec/models/session_spec.rb[1:2:3]                                     | passed | 0.30448 seconds |
./spec/models/setting_spec.rb[1:1:1]                                     | passed | 0.02037 seconds |
./spec/models/setting_spec.rb[1:1:2]                                     | passed | 1.27 seconds    |
./spec/models/setting_spec.rb[1:1:3]                                     | passed | 0.01393 seconds |
./spec/models/setting_spec.rb[1:1:4]                                     | passed | 0.02907 seconds |
./spec/models/setting_spec.rb[1:2:1:1]                                   | passed | 0.04525 seconds |
./spec/models/setting_spec.rb[1:2:2:1]                                   | passed | 0.05339 seconds |
./spec/models/user_spec.rb[1:1:1]                                        | passed | 0.01517 seconds |
./spec/models/user_spec.rb[1:1:2]                                        | passed | 0.01191 seconds |
./spec/models/user_spec.rb[1:2:1]                                        | passed | 0.80062 seconds |
./spec/models/user_spec.rb[1:2:2]                                        | passed | 0.01234 seconds |
./spec/models/user_spec.rb[1:2:3]                                        | passed | 0.28347 seconds |
./spec/models/user_spec.rb[1:3:1]                                        | passed | 0.30083 seconds |
./spec/models/user_spec.rb[1:3:2]                                        | passed | 0.30246 seconds |
./spec/models/user_spec.rb[1:4:1]                                        | passed | 0.27851 seconds |
./spec/models/user_spec.rb[1:4:2]                                        | passed | 0.33461 seconds |
./spec/service_objects/articles/excerpt_generation_spec.rb[1:1:1:1]      | passed | 0.30413 seconds |
./spec/service_objects/articles/excerpt_generation_spec.rb[1:1:1:2]      | passed | 0.30717 seconds |
./spec/service_objects/articles/excerpt_generation_spec.rb[1:1:1:3]      | passed | 0.30642 seconds |
./spec/service_objects/articles/excerpt_generation_spec.rb[1:1:2:1]      | passed | 0.30426 seconds |
./spec/service_objects/articles/excerpt_generation_spec.rb[1:1:3:1]      | passed | 0.30304 seconds |
./spec/service_objects/articles/excerpt_generation_spec.rb[1:1:4:1]      | passed | 0.30645 seconds |
./spec/service_objects/articles/excerpt_generation_spec.rb[1:1:5:1]      | passed | 0.30224 seconds |
./spec/service_objects/articles/reading_time_calculator_spec.rb[1:1:1:1] | passed | 0.30731 seconds |
./spec/service_objects/articles/reading_time_calculator_spec.rb[1:1:2:1] | passed | 0.30314 seconds |
./spec/service_objects/articles/reading_time_calculator_spec.rb[1:1:3:1] | passed | 0.30483 seconds |
./spec/service_objects/articles/reading_time_calculator_spec.rb[1:1:4:1] | passed | 0.30209 seconds |
./spec/service_objects/articles/reading_time_calculator_spec.rb[1:1:5:1] | passed | 0.30544 seconds |
